Tue, 02 Nov 2021 07:48:22 GMT | ERROR | Model.log | Error: Field 'id' doesn't have a default value | 
Tue, 02 Nov 2021 07:49:21 GMT | ERROR | Model.log | Error: Field 'id' doesn't have a default value | 
Tue, 02 Nov 2021 07:53:31 GMT | ERROR | Model.log | Error: Table 'auction.employee' doesn't exist | 
Tue, 02 Nov 2021 08:10:18 GMT | ERROR | Model.log | Error: Unknown column 'country.category_id' in 'on clause' | 
Tue, 02 Nov 2021 08:11:17 GMT | ERROR | Model.log | Error: Unknown column 'country.category_id' in 'on clause' | 
Tue, 02 Nov 2021 08:13:39 GMT | ERROR | Model.log | Error: Unknown column 'sub_category_id' in 'where clause' | 
Tue, 02 Nov 2021 08:14:05 GMT | ERROR | Model.log | Error: Unknown column 'id' in 'where clause' | 
Tue, 02 Nov 2021 08:14:33 GMT | ERROR | Model.log | Error: Table 'auction.employee' doesn't exist | 
Tue, 02 Nov 2021 08:39:51 GMT | ERROR | Model.log | Error: Unknown column 'id' in 'where clause' | 
Tue, 02 Nov 2021 11:32:55 GMT | ERROR | Model.log | Error: Column 'product_id' cannot be null | 
Tue, 02 Nov 2021 11:32:55 GMT | ERROR | Model.log | Error: Column 'product_id' cannot be null | 
Tue, 02 Nov 2021 12:17:03 GMT | ERROR | Model.log | Error: Not unique table/alias: 'b' | 
Tue, 02 Nov 2021 12:17:35 GMT | ERROR | Model.log | Error: Unknown column 'a.vedio' in 'field list' | 
Tue, 02 Nov 2021 12:18:06 GMT | ERROR | Model.log | Error: Table 'auction.product_img' doesn't exist | 
Tue, 02 Nov 2021 14:18:55 GMT | ERROR | Model.log | Error: Unknown column 'subscription_id' in 'field list' | 
Tue, 02 Nov 2021 14:26:49 GMT | ERROR | Model.log | Error: Unknown column 'client_id' in 'where clause' | 
Tue, 02 Nov 2021 14:27:09 GMT | ERROR | Model.log | Error: Unknown column 'client_id' in 'order clause' | 
Tue, 02 Nov 2021 16:01:52 GMT | ERROR | Model.log | Error: Table 'auction.user' doesn't exist | 
Tue, 02 Nov 2021 16:02:40 GMT | ERROR | Model.log | Error: Unknown column 'pincode' in 'field list' | 
Tue, 02 Nov 2021 16:05:18 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'order clause' | 
Mon, 15 Nov 2021 05:43:02 GMT | ERROR | Model.log | Error: Unknown column 'id' in 'field list' | 
Mon, 15 Nov 2021 05:49:47 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE banner_id = '2' AND status='1'' at line 1 | 
Mon, 15 Nov 2021 05:49:56 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE banner_id = '2' AND status='1'' at line 1 | 
Mon, 15 Nov 2021 05:50:07 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE banner_id = '1' AND status='1'' at line 1 | 
